"","ID1","party_member","coal_id","event_factor","SRI_bi_z","index_5m_bi_z","gmdur_index_z","gm_yn_bi","kinship","period","party_size_fem_z","immdyad","ranksumbi_z"
"1070","WL","JU","2017-11-21_9:14:00","0",0.188276703630146,-0.84501181101177,-0.244844131845214,"N","0","D",0.134816131158751,"1",-0.802473356396701
"1071","WL","ML","2017-11-21_9:14:00","0",-0.144008217208171,-0.104564832949254,-0.18381910061737,"Y","0","D",0.134816131158751,"0",-1.15748134081091
"1072","WL","NP","2017-11-21_9:14:00","0",0.00516336271519573,0.635851862221843,-0.244844131845214,"N","0","D",0.134816131158751,"0",-0.205758267473763
"1073","WL","OT","2017-11-21_9:14:00","0",0.170283207450401,0.393798010732221,-0.244844131845214,"N","0","D",0.134816131158751,"0",-1.02566420539039
"1074","WL","TG","2017-11-21_9:14:00","0",0.0995875634038561,0.965217710637292,-0.175143252804255,"Y","0","D",0.134816131158751,"0",-2.0432785749622
"1075","TG","DL","2017-11-21_9:20:00","0",0.316292916833272,-0.33073407280609,1.11238119610777,"Y","0","D",0.134816131158751,"1",-1.01201435635299
"1076","TG","FS","2017-11-21_9:20:00","0",0.881825817734806,-0.535398718909135,-0.244844131845214,"N","0","D",0.134816131158751,"1",-0.339930051360527
"1077","TG","JU","2017-11-21_9:20:00","0",-0.139782243702947,-0.978983322645183,-0.244844131845214,"N","0","D",0.134816131158751,"1",-0.982632118331774
"1078","TG","ML","2017-11-21_9:20:00","0",1.00313444386229,1.14555346366957,0.211144583568943,"Y","0","D",0.134816131158751,"0",-1.33764010274598
"1079","TG","NP","2017-11-21_9:20:00","0",0.81665800150807,1.28123946064078,-0.063052378194755,"Y","0","D",0.134816131158751,"0",-0.385917029408836
"1080","TG","OT","2017-11-21_9:20:00","0",0.91347820034693,0.281775199380278,-0.208182706240654,"Y","0","D",0.134816131158751,"0",-1.20582296732546
"1081","TG","QT","2017-11-21_9:20:00","0",0.228450872631684,0.246310423459048,-0.244844131845214,"N","0","D",0.134816131158751,"0",-1.57446534243256
"1082","TG","WL","2017-11-21_9:20:00","0",0.0995875634038561,0.965217710637292,-0.175143252804255,"Y","0","D",0.134816131158751,"0",-2.0432785749622
"1083","TG","DL","2017-12-01_10:18:00","0",0.316292916833272,-0.33073407280609,1.11238119610777,"Y","0","D",-0.194962609695299,"1",-1.01201435635299
"1084","TG","FS","2017-12-01_10:18:00","0",0.881825817734806,-0.535398718909135,-0.244844131845214,"N","0","D",-0.194962609695299,"1",-0.339930051360527
"1085","TG","ML","2017-12-01_10:18:00","0",1.00313444386229,1.14555346366957,0.211144583568943,"Y","0","D",-0.194962609695299,"0",-1.33764010274598
"1086","TG","NP","2017-12-01_10:18:00","0",0.81665800150807,1.28123946064078,-0.063052378194755,"Y","0","D",-0.194962609695299,"0",-0.385917029408836
"1087","TG","PO","2017-12-01_10:18:00","0",-0.0883725579401018,-0.377478576535984,-0.113661071518692,"Y","0","D",-0.194962609695299,"0",-0.892209980818791
"1088","TG","QT","2017-12-01_10:18:00","0",0.228450872631684,0.246310423459048,-0.244844131845214,"N","0","D",-0.194962609695299,"0",-1.57446534243256
"1089","TG","WL","2017-12-01_10:18:00","0",0.0995875634038561,0.965217710637292,-0.175143252804255,"Y","0","D",-0.194962609695299,"0",-2.0432785749622
"1090","OT","AL","2017-12-06_12:42:00","0",0.886850298059755,0.206287423709405,-0.218994386713848,"Y","0","D",0.4645948720128,"0",-0.633384582254222
"1091","OT","ML","2017-12-06_12:42:00","0",0.697561313339809,0.0210183177613608,-0.130058954059507,"Y","0","D",0.4645948720128,"0",-0.32002573317417
"1092","OT","NP","2017-12-06_12:42:00","0",0.602200887822346,-0.0108680196008147,-0.083977313342618,"Y","0","D",0.4645948720128,"0",0.631697340162977
"1093","OT","OM","2017-12-06_12:42:00","0",4.37191087203712,2.60473737583481,0.846885196759961,"Y","1","D",0.4645948720128,"0",0.127690391915748
"1094","OT","QT","2017-12-06_12:42:00","0",0.110616548731277,-0.351882629893039,0.165451822793056,"Y","0","D",0.4645948720128,"0",-0.556850972860751
"1095","OT","UM","2017-12-06_12:42:00","0",0.136139231576891,0.400062879673064,-0.174077490127788,"Y","0","D",0.4645948720128,"0",-0.857113725570631
"1096","OT","WL","2017-12-06_12:42:00","0",0.170283207450401,0.393798010732221,-0.244844131845214,"N","0","D",0.4645948720128,"0",-1.02566420539039
"1097","PO","AL","2017-12-06_12:42:00","0",0.190225329865909,-0.327763372479495,-0.244844131845214,"N","0","D",0.4645948720128,"0",-0.319771595747553
"1098","PO","ML","2017-12-06_12:42:00","0",-0.486300038208451,0.142778140434585,-0.244844131845214,"N","0","D",0.4645948720128,"0",-0.00641274666750135
"1099","PO","NP","2017-12-06_12:42:00","0",-0.248544191809036,2.15377407916479,0.0929313594732344,"Y","0","D",0.4645948720128,"0",0.945310326669645
"1100","PO","OM","2017-12-06_12:42:00","0",-0.010389696336685,-0.482235021083091,-0.172619750317129,"Y","0","D",0.4645948720128,"0",0.441303378422417
"1101","PO","QT","2017-12-06_12:42:00","0",1.53493876371258,0.332347998851355,-0.226686024624876,"Y","0","D",0.4645948720128,"0",-0.243237986354082
"1102","PO","UM","2017-12-06_12:42:00","0",-0.25963113136976,-0.104103398390048,-0.244844131845214,"N","0","D",0.4645948720128,"0",-0.543500739063962
"1103","PO","WL","2017-12-06_12:42:00","0",1.48411070735925,0.89014466968638,-0.244844131845214,"N","0","D",0.4645948720128,"0",-0.712051218883718
"1104","TG","AL","2017-12-06_12:42:00","0",0.84500522714459,-0.260288858759536,-0.187847353910242,"Y","0","D",0.4645948720128,"0",-1.65099895182603
"1105","TG","ML","2017-12-06_12:42:00","0",1.00313444386229,1.14555346366957,0.211144583568943,"Y","0","D",0.4645948720128,"0",-1.33764010274598
"1106","TG","NP","2017-12-06_12:42:00","0",0.81665800150807,1.28123946064078,-0.063052378194755,"Y","0","D",0.4645948720128,"0",-0.385917029408836
"1107","TG","OM","2017-12-06_12:42:00","0",0.623509310593033,0.127484330562218,0.00695882617000287,"Y","0","D",0.4645948720128,"0",-0.889923977656064
"1108","TG","QT","2017-12-06_12:42:00","0",0.228450872631684,0.246310423459048,-0.244844131845214,"N","0","D",0.4645948720128,"0",-1.57446534243256
"1109","TG","UM","2017-12-06_12:42:00","0",0.140240045197678,1.98358257893904,-0.244844131845214,"N","0","D",0.4645948720128,"0",-1.87472809514244
"1110","TG","WL","2017-12-06_12:42:00","0",0.0995875634038561,0.965217710637292,-0.175143252804255,"Y","0","D",0.4645948720128,"0",-2.0432785749622
"1111","DL","ML","2017-12-06_12:46:00","0",0.340490922510563,-0.725869207154575,-0.208042777135293,"Y","0","D",0.4645948720128,"1",-0.126217122201704
"1112","DL","NP","2017-12-06_12:46:00","0",0.207638282872227,-0.224536243480914,0.906925228871431,"Y","0","D",0.4645948720128,"1",0.825505951135442
"1113","DL","OM","2017-12-06_12:46:00","0",0.419526985894849,0.15686210207288,-0.244844131845214,"N","0","D",0.4645948720128,"1",0.321499002888214
"1114","DL","QT","2017-12-06_12:46:00","0",1.1014242274765,0.140272344165606,0.623067423395233,"Y","0","D",0.4645948720128,"1",-0.363042361888285
"1115","DL","TG","2017-12-06_12:46:00","0",0.316292916833272,-0.33073407280609,1.11238119610777,"Y","0","D",0.4645948720128,"1",-1.01201435635299
"1116","DL","UM","2017-12-06_12:46:00","0",0.28152183132245,-0.581405994956099,0.275405235097197,"Y","0","D",0.4645948720128,"1",-0.663305114598164
"1117","OT","ML","2017-12-06_12:46:00","0",0.697561313339809,0.0210183177613608,-0.130058954059507,"Y","0","D",0.4645948720128,"0",-0.32002573317417
"1118","OT","NP","2017-12-06_12:46:00","0",0.602200887822346,-0.0108680196008147,-0.083977313342618,"Y","0","D",0.4645948720128,"0",0.631697340162977
"1119","OT","OM","2017-12-06_12:46:00","0",4.37191087203712,2.60473737583481,0.846885196759961,"Y","1","D",0.4645948720128,"0",0.127690391915748
"1120","OT","QT","2017-12-06_12:46:00","0",0.110616548731277,-0.351882629893039,0.165451822793056,"Y","0","D",0.4645948720128,"0",-0.556850972860751
"1121","OT","TG","2017-12-06_12:46:00","0",0.91347820034693,0.281775199380278,-0.208182706240654,"Y","0","D",0.4645948720128,"0",-1.20582296732546
"1122","OT","UM","2017-12-06_12:46:00","0",0.136139231576891,0.400062879673064,-0.174077490127788,"Y","0","D",0.4645948720128,"0",-0.857113725570631
"1123","PO","ML","2017-12-06_12:46:00","0",-0.486300038208451,0.142778140434585,-0.244844131845214,"N","0","D",0.4645948720128,"0",-0.00641274666750135
"1124","PO","NP","2017-12-06_12:46:00","0",-0.248544191809036,2.15377407916479,0.0929313594732344,"Y","0","D",0.4645948720128,"0",0.945310326669645
"1125","PO","OM","2017-12-06_12:46:00","0",-0.010389696336685,-0.482235021083091,-0.172619750317129,"Y","0","D",0.4645948720128,"0",0.441303378422417
"1126","PO","QT","2017-12-06_12:46:00","0",1.53493876371258,0.332347998851355,-0.226686024624876,"Y","0","D",0.4645948720128,"0",-0.243237986354082
"1127","PO","TG","2017-12-06_12:46:00","0",-0.0883725579401018,-0.377478576535984,-0.113661071518692,"Y","0","D",0.4645948720128,"0",-0.892209980818791
"1128","PO","UM","2017-12-06_12:46:00","0",-0.25963113136976,-0.104103398390048,-0.244844131845214,"N","0","D",0.4645948720128,"0",-0.543500739063962
"1129","WL","ML","2017-12-06_12:46:00","0",-0.144008217208171,-0.104564832949254,-0.18381910061737,"Y","0","D",0.4645948720128,"0",-1.15748134081091
"1130","WL","NP","2017-12-06_12:46:00","0",0.00516336271519573,0.635851862221843,-0.244844131845214,"N","0","D",0.4645948720128,"0",-0.205758267473763
"1131","WL","OM","2017-12-06_12:46:00","0",0.22437409315159,-0.263192674775236,-0.244844131845214,"N","0","D",0.4645948720128,"0",-0.709765215720991
"1132","WL","QT","2017-12-06_12:46:00","0",2.33599886357515,1.15148445443496,-0.197492603624223,"Y","0","D",0.4645948720128,"0",-1.39430658049749
"1133","WL","TG","2017-12-06_12:46:00","0",0.0995875634038561,0.965217710637292,-0.175143252804255,"Y","0","D",0.4645948720128,"0",-2.0432785749622
